area,station,stationNormalized,query,confidence,score,lat,lon,displayName,reason,resultCount
中国,新徳山（変）,新徳山,新徳山（変） 中国 変電所 日本,none,0,35.0081253,135.7565612,"心, 新町通, 御影町, 中京区, 京都市, 京都府, 600-8492, 日本","stationContained=false, displayHasKind=false, overlap=0.333, queryOverlap=0.333",5
中国,新徳山幹線,新徳山,新徳山幹線 中国 変電所 日本,none,0,,,,no_result,0
中国,西島根（変）,西島根,西島根（変） 中国 変電所 日本,none,0,35.0040011,135.7568619,"日本産業カウンセラー協会, 新町通, 御影町, 中京区, 京都市, 京都府, 600-8492, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.25",1
中国,智頭（変）,智頭,智頭（変） 中国 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.182",3
中国,東岡山（変）,東岡山,東岡山（変） 中国 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0.333, queryOverlap=0.25",1
中国,東山口（変）,東山口,東山口（変） 中国 変電所 日本,none,0,35.0040011,135.7568619,"日本産業カウンセラー協会, 新町通, 御影町, 中京区, 京都市, 京都府, 600-8492, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.25",5
中国,南山口（変）,南山口,南山口（変） 中国 変電所 日本,none,0,35.0040011,135.7568619,"日本産業カウンセラー協会, 新町通, 御影町, 中京区, 京都市, 京都府, 600-8492, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.25",2
中国,日野（変）,日野,日野（変） 中国 変電所 日本,none,0.035,35.0040011,135.7568619,"日本産業カウンセラー協会, 新町通, 御影町, 中京区, 京都市, 京都府, 600-8492, 日本","stationContained=false, displayHasKind=false, overlap=0.5, queryOverlap=0.3",2
中国,北松江（変）,北松江,北松江（変） 中国 変電所 日本,none,0,35.0040011,135.7568619,"日本産業カウンセラー協会, 新町通, 御影町, 中京区, 京都市, 京都府, 600-8492, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.25",5
中国,北尾道（変）,北尾道,北尾道（変） 中国 変電所 日本,none,0,35.0040011,135.7568619,"日本産業カウンセラー協会, 新町通, 御影町, 中京区, 京都市, 京都府, 600-8492, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.25",2
